alloy_composition,sample_preparation,max_magnetic_entropy,temperature,magnetic_field,source_pdf
Ni44Mn44Sn11Fe,"Arc melting under argon atmosphere with 3 wt% excess Mn, re-melted four times, annealed at 1173 K for 24 h in sealed quartz tube under argon, followed by water quenching",26.7 J kg^-1 K^-1,262.5 K,7 T,paper.pdf
Ni44Mn44Sn11Fe,"Arc melting under argon atmosphere with 3 wt% excess Mn, re-melted four times, annealed at 1173 K for 24 h in sealed quartz tube under argon, followed by water quenching",21.3 J kg^-1 K^-1,262.5 K,5 T,paper.pdf
Ni43Co6Mn40Sn11,"Repeated melting of high-purity raw elements in an arc furnace under Ar, followed by casting into a copper mold; homogenization by annealing at 1223 K for 9 h and water quenching",19.3 J kg^-1 K^-1,266 K,5 T,1-s2.0-S1359645418302071-main.pdf
Ni40Co8Mn42.5Sn9.5,"Induction melting followed by melt-spinning into ribbons, manual grinding to powder (<38 μm), heat treatment at 1173 K for 1 h + quenching, then mixed with HPC polymer binder and screen-printed into films",50 J/kg·K,268 K,5 T,Development and magnetocaloric properties of Ni(Co)-Mn-Sn printing ink.pdf
Ni50.4Mn34.0Sn15.6,Arc-melting under Ar atmosphere followed by annealing at 1200 K for 24 h in vacuum and slow cooling (~10 K/min),19.9 J/kg·K,未提及,未提及,PhysRevB.79.144407.pdf
Ni50.0Mn35.3In14.7,"Arc melting, annealed in sealed quartz tubes in Ar at 1073 K for 48 h, then water quenched",未提及,约288 K（对应逆磁热效应最大值附近）,5 T,1.4757425.pdf
Ni51.3Mn32.9In15.8,"Arc melting, annealed in sealed quartz tubes in Ar at 1073 K for 48 h, then water quenched",未提及,251 K,3 T,1.4757425.pdf
Ni48.6Mn34.9Sn16.5,"Arc melting, annealed in sealed quartz tubes in Ar at 1073 K for 48 h, then water quenched",未提及,151 K,5 T,1.4757425.pdf
Ni47Mn40Sn13,机械合金化 + 1223 K退火16小时,8.1 J/kg·K,195 K,5 T,PhysRevB.101.134403.pdf
Ni47Mn40Sn12Zn1,机械合金化 + 1223 K退火16小时,19.9 J/kg·K,270 K,5 T,PhysRevB.101.134403.pdf
Ni39Co9Mn42Sn9Si1,Arc-melting in argon atmosphere followed by homogenization annealing at 1173 K for 24 h in vacuum,23.5 J kg^-1 K^-1,305 K,5 T,1-s2.0-S0925838821010861-main.pdf
Ni45.8Fe4.2Mn38Sn12,"Induction melting in argon atmosphere, casting in copper mold, sealed in quartz tube with Mn powder and Ti sheet, annealed at 1173 K for 24 h, then quenched in iced water",未提及,未提及,50000 Oe (5 T),paper.pdf
Ni40.6Mn43.3Sn10.0Co6.1,"Induction melting in argon atmosphere, casting in copper mold, sealed in quartz tube with Mn powder and Ti sheet, annealed at 1173 K for 24 h, then quenched in iced-water",29.5 J/kg·K,314 K,5.0 T,Enhanced magnetocaloric efect in Ni-Mn-Sn-Co alloys with two successive magnetostructural transformations.pdf
Ni40Co8Mn37Sn9Cu6,"Arc-melted from high-purity elements under inert Ar atmosphere, melted eight times for homogeneity, then annealed at 1073 K for 48 h under 10^-3 Pa in sealed quartz tubes and quenched in ice water.",34.8 J/(kg K),344 K,7 T,acsami.9b08640.pdf
Ni45.6Fe3.6Mn38.4Sn12.4,Melt-extraction technique followed by annealing at 1173 K for 1 h in vacuum and ice-water quenching,15.2 J/kg·K,"266 K (approximate peak temperature for FOMT, based on Tcold=260 K and Thot=272 K)",5.0 T,1.5132767.pdf
Ni46.8Mn38.1Sn11.6Fe3.5,"Induction melting in argon atmosphere, re-melted three times, sealed in quartz tube with Ti sheet, evacuated, annealed at 1173 K for 24 h, then quenched in iced water",14.5 J/kg·K,279 K,5.0 T,paper.pdf
Ni43Mn41Co5Sn11,"Melt-spinning plus pre-deformation, annealing, or high pressure annealing",32.8 J·kg⁻¹·K⁻¹,"Near room temperature (exact value not specified, but MT around 300–308 K)",10 kOe,A_Review_on_the_Regulation_of_Magnetic_Transitions_and_the_Related_Magnetocaloric_Properties_in_Ni-Mn-Co-Sn_Alloys.pdf
